"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ATTINY85-20PU","Microchip Technology","ATTINY85-20PU-ND","U2","","Tube","Active","1","1.20000","$1.20","144","21 Weeks","IC MCU 8BIT 8KB FLASH 8DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"USP1H0R1MDD","Nichicon","493-15992-ND","C1","","Bulk","Active","1","0.35000","$0.35","2591","15 Weeks","CAP ALUM 0.1UF 20% 50V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"SFR2500001001FR500","Vishay Beyschlag/Draloric/BC Components","PPC1.00KYCT-ND","R2,R3,R4/5","","Cut Tape (CT)","Active","3","0.14000","$0.42","23724","22 Weeks","RES 1K OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SFR2500001000FR500","Vishay Beyschlag/Draloric/BC Components","PPC100YCT-ND","R1","","Cut Tape (CT)","Active","1","0.14000","$0.14","13597","22 Weeks","RES 100 OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"2N7000-G","Microchip Technology","2N7000-G-ND","Q1,Q2","","Bag","Active","2","0.37000","$0.74","2054","21 Weeks","MOSFET N-CH 60V 0.2A TO92-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"C503B-RAN-CZ0C0AA1","Cree Inc.","C503B-RAN-CZ0C0AA1-ND","D1","","Bulk","Active","1","0.15000","$0.15","51470","4 Weeks","LED RED CLEAR 5MM ROUND T/H","RoHS Compliant","Lead free","Not Available"
